strike,maturity,type,market_price,one_step_price,two_step_price,one_step_error_pct,two_step_error_pct
86000.0,0.00626,put,56.86007198171429,51.62742431787774,457.4916225937777,9.202675060839399,704.5920566912105
88000.0,0.00626,put,138.43085490485714,186.3899623239413,817.0032229479693,34.644810546063745,490.1886710946716
89000.0,0.00626,call,3710.4479436157135,3826.532041844708,4568.064295613774,3.1285736922608436,23.11355300035125
89000.0,0.00626,put,213.9056550805714,323.44653051160276,1064.978784280669,51.20990157542625,397.87313190926426
90000.0,0.00626,call,2838.5792305059995,3033.5311675992416,3869.500175599045,6.867940658414892,36.318202219399595
90000.0,0.00626,put,342.0364910734285,530.3830582254741,1366.352066225285,55.06622014538538,299.47552436209384
91000.0,0.00626,call,2053.6211940302856,2327.705038159809,3229.4728409253803,13.346368109477236,57.257475249729715
91000.0,0.00626,put,557.0789286657142,824.4943307453796,1726.2621335109434,48.00314431568332,209.87747780114296
92000.0,0.00626,call,1380.3934315334284,1722.6256553297717,2652.0387508381755,24.792368318948757,92.12194800812135
92000.0,0.00626,put,883.8507152714285,1219.35234987468,2148.765445383091,37.95908390482205,143.1140698600001
93000.0,0.00626,call,846.5644338802856,1225.4814532667879,2139.8414812727715,44.759383246200215,152.7677038668708
93000.0,0.00626,put,1350.021266720857,1722.1455497710413,2636.5055777770176,27.564327483081648,95.29363297964743
94000.0,0.00626,call,479.7582935951429,835.6191003989661,1693.8630586505387,74.17501928671733,253.0659253344667
94000.0,0.00626,put,1983.215600503714,2332.22059886255,3190.4645571141155,17.597935306186212,60.873308797277204
95000.0,0.00626,call,253.6347701685714,544.7752953933268,1313.2936191631525,114.78730815623457,417.7892677294631
95000.0,0.00626,put,2757.092551145143,3041.314195816245,3809.832519586067,10.308745150867438,38.18297532317784
96000.0,0.00626,call,124.49202199685712,338.88642079907186,995.5432205203688,172.215372008037,699.6843529021497
97000.0,0.00626,call,62.26959761685714,200.83274664768032,736.4012406673755,222.52134963742313,1082.6015725979619
86000.0,0.009,put,126.7629752454857,126.35004913176817,760.6190844766534,0.3257466250834446,500.03252763960404
88000.0,0.009,call,4761.7377260208,4842.664989414712,5704.549520456654,1.6995321466715791,19.799742209315777
88000.0,0.009,put,255.4445496456,337.23106008973264,1199.1155911316746,32.017324526047645,369.4230480921632
89000.0,0.009,call,3875.8991209008,4023.723312579197,4986.241613287748,3.8139328983371823,28.647352723898877
89000.0,0.009,put,369.60450221520006,518.1993873040919,1480.71768801265,40.20375406638672,300.6221999835139
90000.0,0.009,call,3048.3995003588007,3271.8815377632272,4314.652202174817,7.3311269529509655,41.538279404224305
90000.0,0.009,put,542.1025143016001,766.2676165379962,1809.0382809495786,41.351053780887156,233.70778279458705
91000.0,0.009,call,2302.0416229748,2598.258988194706,3693.0575325317623,12.86759380297916,60.425315323335916
91000.0,0.009,put,795.7605461910857,1092.5550710193638,2187.35361535642,37.29696404890736,174.87585628945865
92000.0,0.009,call,1648.2092918760002,2011.0588979366075,3124.057153997288,22.014777361654726,89.54250345485374
92000.0,0.009,put,1141.9084961368,1505.2649848111469,2618.26324087182,31.820105542924072,129.28835801902585
93000.0,0.009,call,1128.2185154380002,1514.402158327881,2609.4199585194656,34.22950763575755,131.28675188480037
93000.0,0.009,put,1621.9185333252285,2008.5182492522872,3103.536049443879,23.835951558828224,91.34968777260747
94000.0,0.009,call,736.1691234525429,1107.7439803360612,2149.9631804490637,50.474115939674,192.04745376524352
94000.0,0.009,put,2229.8396712536,2601.770075310342,3643.989275423344,16.679692663627474,63.419340071868
95000.0,0.009,call,457.2114981,786.0110262615817,1745.4771528976125,71.91409873285113,281.76580426152077
95000.0,0.009,put,2950.9054503684006,3279.9471252857475,4239.413251921782,11.150532623004517,43.66482841368299
96000.0,0.009,call,274.02162866400005,540.4115663476696,1394.7053514244508,97.21493116527368,408.9763746841353
96000.0,0.009,put,3767.845118437629,4034.257669421713,4888.551454498491,7.070687425032868,29.743959765670326
97000.0,0.009,call,156.92340319817143,359.7071085291718,1095.384469031109,129.2246415755552,598.0376710590439
98000.0,0.009,call,88.05750068920001,231.6458754725154,844.3435156252672,163.06206019872428,858.8547358451469
75000.0,0.01996,put,57.17633328,5.543646985621308,274.7296204481245,90.30429783163369,380.49534604245696
78000.0,0.01996,put,106.31087104,24.915041269065114,496.90371237762156,76.56397598351846,367.4063033409434
80000.0,0.01996,put,170.648284629,60.52665734155744,713.8017149463267,64.53134148219178,318.2882450287596
81000.0,0.01996,put,208.5634421085,91.30081225822505,847.7560047565494,56.22396171869466,306.4739228438343
82000.0,0.01996,call,10800.209093544,10648.721459716326,11514.924546745911,1.4026361204268514,6.617607557516131
82000.0,0.01996,put,258.758850003,134.84160733991303,1001.0446943694988,47.889083856127165,286.8639446951835
83000.0,0.01996,put,318.875237824,195.08291117484623,1175.4771157202194,38.82155525587713,268.6322976163525
84000.0,0.01996,call,8940.31116352,8790.901839753511,9887.168445237214,1.671187065346655,10.590876138414119
84000.0,0.01996,put,398.9202536,276.6228272146109,1372.8894326983136,30.657111360411793,244.15134862390792
85000.0,0.01996,call,8040.74055488,7899.125311080119,9109.601113524914,1.761221405333532,13.293061147162778
85000.0,0.01996,put,499.343678944,384.6467184599751,1595.1225209047698,22.96954288609065,219.4438195909672
86000.0,0.01996,call,7158.8174768,7039.460209213343,8358.674902727827,1.6672763060863787,16.760553398885722
86000.0,0.01996,put,617.41804611,524.7820365119551,1843.9967300264398,15.003774214519922,198.662590386597
87000.0,0.01996,call,6318.885712128,6217.7624608631595,7636.161501602641,1.6003336010770353,20.846646853358333
