K,T,type,moneyness,market_price,market_iv,price1,error1,rel_error1,price2,error2,rel_error2
90000.0,0.1542,put,0.9729991199763515,5171.056944285,,5151.457187629101,-19.599756655899,-0.37902805687646607,5699.856555557126,528.7996112721257,10.226141714732995
92000.0,0.1542,call,0.9946213226424926,7137.711589207,,6772.84298836533,-364.86860084166983,-5.11184286842566,7325.818706821199,188.10711761419952,2.6353981281428918
92000.0,0.1542,put,0.9946213226424926,6052.2447242055005,,6133.574023596848,81.32929939134738,1.343787356550156,6686.54974205271,634.3050178472095,10.48049189601263
94000.0,0.1542,call,1.0162435253086337,6119.508984447,,5856.285960900685,-263.22302354631574,-4.3013749014064455,6405.771398810197,286.2624143631965,4.677865742018599
94000.0,0.1542,put,1.0162435253086337,7034.188715302001,,7213.935372674503,179.74665737250234,2.5553289035519606,7763.420810584008,729.2320952820073,10.36696802995424
95000.0,0.1542,call,1.0270546266417042,5655.4581021125,,5433.920417933499,-221.53768417900028,-3.9172367680745204,5978.80407347819,323.3459713656903,5.717414319538676
95000.0,0.1542,put,1.0270546266417042,7570.13825071,,7790.0290179784715,219.8907672684718,2.9047127012224427,8334.912673523162,764.7744228131623,10.102515931481628
96000.0,0.1542,call,1.037865727974775,5230.4685007862,,5034.847660632484,-195.62084015371602,-3.7400252027961156,5573.349195300543,342.8806945143433,6.555448990139304
96000.0,0.1542,put,1.037865727974775,8145.087460170499,,8389.415448948603,244.32798877810365,2.9996975474219054,8927.916983616655,782.8295234461557,9.611063444980724
98000.0,0.1542,call,1.059487930640916,4402.79727579,,4304.2399176033,-98.55735818670018,-2.2385168340283377,4825.0897623746205,422.29248658462075,9.591458796132017
98000.0,0.1542,put,1.059487930640916,9317.4372116275,,9655.726082461719,338.28887083421796,3.630707276589505,10176.57592723304,859.1387156055389,9.22076206248425
100000.0,0.1542,call,1.0811101333070572,3744.7252919045,,3659.247344109561,-85.47794779493915,-2.282622652714443,4156.782705769361,412.05741386486125,11.003675349849127
100000.0,0.1542,put,1.0811101333070572,10659.4094209694,,11007.65188551027,348.24246454087006,3.2669958605380205,11505.187247170063,845.7778262006632,7.934565535467963
102000.0,0.1542,call,1.1027323359731982,3148.986847865,,3093.9700233554904,-55.01682450950966,-1.7471277959389013,3563.63797106528,414.6511232002799,13.1677629419574
102000.0,0.1542,put,1.1027323359731982,12063.5180196385,,12439.292941298503,375.7749216600023,3.1149696220312264,12908.960889008289,845.4428693697882,7.008261337973473
104000.0,0.1542,call,1.1243545386393394,2637.9912626825,,2602.059596281684,-35.93166640081563,-1.3620843597593164,3040.452692771869,402.46143008936906,15.256359480134032
104000.0,0.1542,put,1.1243545386393394,13552.6179195155,,13944.300890767001,391.68297125150093,2.8900908560809144,14382.693987257175,830.0760677416747,6.124839294306244
105000.0,0.1542,call,1.13516563997241,2406.4325896114,,2381.5647340718315,-24.86785553956861,-1.0333909059793926,2803.395307926483,396.96271831508284,16.49590019802657
105000.0,0.1542,put,1.13516563997241,14321.046072131998,,14722.265216828295,401.219144696297,2.801605013177413,15144.095790682943,823.0497185509448,5.747134073903696
106000.0,0.1542,call,1.1459767413054807,2175.789051427,,2176.9376799462916,1.148628519291833,0.05279135486680111,2581.769534670875,405.98048324387537,18.659000190189
106000.0,0.1542,put,1.1459767413054807,15090.335262386,,15516.097350973912,425.76208858791324,2.821422328827664,15920.9292056985,830.5939433125004,5.5041450628524435
108000.0,0.1542,call,1.1675989439716217,1804.9890106595,,1811.9888028001915,6.999792140691397,0.38780247964688935,2182.02121422685,377.03220356735005,20.888337897946062
108000.0,0.1542,put,1.1675989439716217,16719.541344934,,17148.0668503701,428.5255054361005,2.5630218951307726,17518.099261796786,798.5579168627846,4.776195114375829
110000.0,0.1542,call,1.189221146637763,1521.986883372,,1500.7231600482373,-21.263723323762633,-1.397102928814493,1835.657555978978,313.6706726069781,20.609288820678458
110000.0,0.1542,put,1.189221146637763,18436.6002612005,,18833.71958416047,397.1193229599703,2.153972626914849,19168.653980091185,732.0537188906856,3.9706546137537067
112000.0,0.1542,call,1.210843349303904,1248.9914097094995,,1236.9072460591178,-12.084163650381697,-0.9675137520114994,1537.2529569424441,288.2615472329446,23.079546023458306
112000.0,0.1542,put,1.210843349303904,20163.600671487,,20566.82204671364,403.2213752266398,1.9997488632912084,20867.16775759695,703.5670861099497,3.489292897497478
114000.0,0.1542,call,1.2324655519700451,1048.2106524176,,1014.6626757782324,-33.54797663936756,-3.2004994952104604,1281.5934920966538,233.38283967905386,22.264879596556106
114000.0,0.1542,put,1.2324655519700451,21962.8109560345,,22341.49585297506,378.68489694055825,1.7242096091370802,22608.42666929346,645.6157132589615,2.93958598720066
115000.0,0.1542,call,1.2432766533031157,949.5296982038,,917.4073015457507,-32.1223966580493,-3.3829796707585214,1168.2386157544552,218.7089175506552,23.03339410703857
116000.0,0.1542,call,1.2540877546361862,858.9292588525,,828.5352105272959,-30.39404832520404,-3.5385973887779123,1063.7439947762668,204.81473592376688,23.845355576475804
118000.0,0.1542,call,1.2757099573023274,700.4741314135,,673.5371660619921,-26.936965351507865,-3.8455332100774733,879.096298685381,178.62216727188104,25.500180415147668
120000.0,0.1542,call,1.2973321599684686,577.120483188,,545.1670566323719,-31.953426555628084,-5.536699439104657,723.4004312370034,146.27994804900345,25.346518155265684
122000.0,0.1542,call,1.3189543626346096,484.8963708255,,439.41059789894734,-45.48577292655267,-9.380514201233662,592.7809238664577,107.88455304095766,22.248991646873378
124000.0,0.1542,call,1.3405765653007509,409.3335694615,,352.72714420210013,-56.606425259399884,-13.828923274938978,483.7405857277072,74.40701626620717,18.177599351085114
125000.0,0.1542,call,1.3513876666338214,376.0649368515,,315.55503107538243,-60.50990577611759,-16.090281184606066,436.3217661568433,60.256829305343274,16.022985234897718
130000.0,0.1542,call,1.4054431732991743,257.1561045385,,178.25326041666813,-78.90284412183189,-30.68285867194686,256.6093659639291,-0.5467385745708953,-0.21260960363048295
