strike,maturity,type,market_price,one_step_price,two_step_price,one_step_error_pct,two_step_error_pct
80000.0,0.00352,call,12533.200314720929,12532.623793397273,12537.565196131298,0.004599952998264252,0.03482655108641476
80000.0,0.00352,put,3.289434643928571,0.0007001011545071378,4.942102835178957,99.97871667230723,50.241709294962774
82000.0,0.00352,call,10543.800208168786,10532.719683291289,10551.190333269114,0.10509042905529567,0.07008976796243345
82000.0,0.00352,put,13.886873456,0.026191234195721336,18.496841212021536,99.8113957452071,33.19658503858362
83000.0,0.00352,call,9545.600677586572,9532.857861627883,9566.385233884197,0.13349412351398157,0.21773963734339216
83000.0,0.00352,put,15.685652906857142,0.12917019029555377,33.65654244660982,99.17650740417005,114.56896086165797
84000.0,0.00352,call,8548.336623354571,8533.3199129204,8591.687082898497,0.1756682158859334,0.5071215776118384
84000.0,0.00352,put,18.420834006,0.5560221023333725,58.923192080430454,96.98155847801317,219.87255333411127
85000.0,0.00352,call,7554.7552554468575,7534.896456655464,7632.2134014897165,0.2628648860209668,1.0252899455215692
85000.0,0.00352,put,24.837776131357145,2.0973664569028188,99.41431129115517,91.55573974976392,300.25447836147777
86000.0,0.00352,call,6561.731842276215,6539.795879613041,6694.722378186838,0.33430141905287886,2.026759689473837
86000.0,0.00352,put,31.813598291857144,6.961590033999528,161.88808860779682,78.11756479058396,408.8644394219088
87000.0,0.00352,call,5576.591043376071,5553.293012293405,5787.667182903344,0.4177826722714352,3.785038886399806
87000.0,0.00352,put,46.67110942478571,20.423523333869525,254.79769394380855,56.239473229613935,445.9430835995784
88000.0,0.00352,call,4604.750478954643,4586.123789271573,4921.018169575516,0.4045102936239627,6.868291605947598
88000.0,0.00352,put,74.82885503642856,53.21910093155748,388.11348123550124,28.878905195530407,418.66820766742705
89000.0,0.00352,call,3659.0967752527145,3656.789525500164,4105.786312611468,0.06305517165205568,12.207644804035091
89000.0,0.00352,put,129.17438666564286,123.84963777965459,572.8464248909586,4.122139863354598,343.4675013195332
90000.0,0.00352,call,2758.6050198210714,2791.9739469357737,3353.2265526878473,1.2096304789899444,21.55515300647659
90000.0,0.00352,put,228.68186656514283,258.9988598347845,820.2514655868581,13.257279086011629,258.6867108910883
91000.0,0.00352,call,1934.0034363137856,2023.155873965552,2673.772243508858,4.609735224756947,38.25064595568006
91000.0,0.00352,put,404.07859309092856,490.1455874840758,1140.7619570273819,21.299567921872033,182.31190083625137
92000.0,0.00352,call,1232.395248355,1379.1387764608808,2075.837386201514,11.907180614478511,68.43925591017492
92000.0,0.00352,put,702.4687151652142,846.0932905989175,1542.791900339551,20.44568994078606,119.62428604051077
93000.0,0.00352,call,690.1141353155,877.0978649264871,1564.695346130502,27.09460943377194,126.72993727554487
93000.0,0.00352,put,1160.1868374568571,1344.0171796840295,2031.6146608880372,15.844891209947756,75.11099034198318
94000.0,0.00352,call,348.15172705764286,516.6297145351091,1141.6703850922786,48.39211596085853,227.92322897288236
94000.0,0.00352,put,1818.2227392320715,1983.5138299121754,2608.5545004693413,9.090805384488526,43.46726856859503
95000.0,0.00352,call,157.548652026,280.1322406041618,803.8399381512281,77.80681522932483,410.21695699343184
95000.0,0.00352,put,2627.6179742335003,2746.9811566007265,3270.6888541477965,4.542638372004804,24.473530255169067
96000.0,0.00352,call,68.05012136514286,139.16173575370885,544.34177151318,104.49887959346289,699.913006168431
96000.0,0.00352,put,3538.1186789037856,3605.975452369792,4011.1554881292686,1.9178772569333504,13.369727026003659
97000.0,0.00352,call,28.954427251142857,63.110621177928806,353.23851009512146,117.96535856338781,1119.9809964508238
97000.0,0.00352,put,4499.021294822857,4529.88913841352,4820.017027330716,0.6861012999912578,7.134790245986094
98000.0,0.00352,call,14.306033482357144,26.063569637135515,218.75838181977997,82.18585654282371,1429.1337189274918
98000.0,0.00352,put,5484.372136385214,5492.8068874922465,5685.501699674889,0.15379611188441625,3.667321587375747
100000.0,0.00352,call,6.316084635571428,3.3380388644476398,71.39267186143024,47.15018786087497,1030.3311462825452
100000.0,0.00352,put,7476.379732902642,7470.010957958584,7538.065590955564,0.08518527912686934,0.8250765779251477
102000.0,0.00352,call,3.6521514879285712,0.29066711614537155,17.7425207107774,92.04120866546441,385.81009767589376
102000.0,0.00352,put,9473.712419821142,9466.893187449314,9484.34504104394,0.07198057181428873,0.11223288982840467
86000.0,0.00626,call,6593.531558171486,6584.760909072051,6985.477652400703,0.13301899023392824,5.944403098267894
86000.0,0.00626,put,55.29431735504286,49.5703347180679,450.2870780467201,10.351846104223458,714.3460297293169
88000.0,0.00626,call,4673.019896964728,4716.6037604096055,5342.69177631315,0.9326701877127984,14.330601925820908
88000.0,0.00626,put,134.78088177069998,181.2879899742984,807.3760058778425,34.50571593879319,499.0285827417387
89000.0,0.00626,call,3746.513190273072,3851.4993290429557,4589.524927572813,2.802235930797076,22.50123500134525
89000.0,0.00626,put,208.27282519952857,316.120960567001,1054.1465590968583,51.78214453285121,406.1373504137996
90000.0,0.00626,call,2871.7269778041427,3055.8677168046706,3889.7858126059946,6.412195185119255,35.45110112035467
90000.0,0.00626,put,333.48526285108574,520.4267502880539,1354.3448460893705,56.05689613949893,306.11834973173575
91000.0,0.00626,call,2082.2627851295288,2347.1197589105577,3248.6185258792975,12.719670911496086,56.01385901334325
91000.0,0.00626,put,544.0197202969571,811.6161943532788,1713.1149613220186,49.188745200312276,214.8994232023248
92000.0,0.00626,call,1403.806424958614,1738.9794098779967,2670.07164703116,23.87601160389789,90.20226717582356
