strike,maturity_years,option_type,market_price,model_price,absolute_error,relative_error_pct,moneyness
326.0,0.0273972602739726,call,56.615,56.65682189589916,0.041821895899154526,0.07387069839999033,0.8524212948436356
327.0,0.0273972602739726,call,55.620000000000005,55.6581573107357,0.0381573107356985,0.0686035791724173,0.8550360840916222
328.0,0.0273972602739726,call,54.625,54.6595317198541,0.034531719854101084,0.06321596311963586,0.8576508733396089
329.0,0.0273972602739726,call,53.625,53.66095406322512,0.035954063225119626,0.06704720414940722,0.8602656625875954
330.0,0.0273972602739726,call,52.625,52.66243515537013,0.03743515537013309,0.07113568716414838,0.862880451835582
331.0,0.0273972602739726,call,51.625,51.663988036003786,0.03898803600378642,0.07552161937779452,0.8654952410835687
332.0,0.0273972602739726,call,50.63,50.665628376612915,0.035628376612912405,0.07037009009068221,0.8681100303315553
333.0,0.0273972602739726,call,49.69,49.66737494984392,0.02262505015607985,0.04553240119959721,0.8707248195795418
334.0,0.0273972602739726,call,48.695,48.6692501689804,0.02574983101960271,0.05287982548434687,0.8733396088275285
335.0,0.0273972602739726,call,47.695,47.67128070519391,0.02371929480609225,0.04973119783225128,0.8759543980755151
336.0,0.0273972602739726,call,46.7,46.673498190501334,0.02650180949866865,0.05674905674233115,0.8785691873235018
337.0,0.0273972602739726,call,45.7,45.67594001457081,0.02405998542919008,0.05264767052339186,0.8811839765714884
338.0,0.0273972602739726,call,44.705,44.67865022355551,0.026349776444490658,0.05894145273345411,0.8837987658194749
339.0,0.0273972602739726,call,43.72,43.681680529028654,0.03831947097134503,0.08764746333793465,0.8864135550674616
340.0,0.0273972602739726,call,42.72,42.68509143478906,0.03490856521094088,0.08171480620538595,0.8890283443154482
341.0,0.0273972602739726,call,41.725,41.68895348878908,0.03604651121091962,0.0863906799542711,0.8916431335634348
342.0,0.0273972602739726,call,40.73,40.69334866666344,0.03665133333655746,0.08998608724909762,0.8942579228114214
343.0,0.0273972602739726,call,39.73,39.69837189228571,0.031628107714290365,0.07960762072562388,0.896872712059408
344.0,0.0273972602739726,call,38.73,38.704132699414686,0.02586730058531117,0.06678879572763019,0.8994875013073946
345.0,0.0273972602739726,call,37.725,37.710757036801795,0.014242963198206837,0.03775470695349725,0.9021022905553813
346.0,0.0273972602739726,call,36.73,36.71838921706575,0.01161078293424822,0.031611170526131833,0.9047170798033679
347.0,0.0273972602739726,call,35.73,35.72719400720899,0.0028059927910035753,0.00785332435209509,0.9073318690513544
348.0,0.0273972602739726,call,34.735,34.73735885581192,0.0023588558119200798,0.006791005648251274,0.9099466582993411
349.0,0.0273972602739726,call,33.74,33.74909624870048,0.009096248700480203,0.026959836101008307,0.9125614475473277
350.0,0.0273972602739726,call,32.74,32.762646181219054,0.022646181219052153,0.06916976548274939,0.9151762367953143
351.0,0.0273972602739726,call,31.75,31.77827873116138,0.0282787311613788,0.08906686979961827,0.9177910260433009
352.0,0.0273972602739726,call,30.76,30.796296711909974,0.036296711909972856,0.11799971362149823,0.9204058152912875
353.0,0.0273972602739726,call,29.76,29.817038380417216,0.05703838041721454,0.19166122452021012,0.9230206045392741
354.0,0.0273972602739726,call,28.77,28.84088016934993,0.07088016934993036,0.24636833281171483,0.9256353937872608
355.0,0.0273972602739726,call,27.78,27.868239407015096,0.08823940701509514,0.3176364543379954,0.9282501830352473
356.0,0.0273972602739726,call,26.79,26.899576982623444,0.10957698262344451,0.4090219582808679,0.930864972283234
357.0,0.0273972602739726,call,25.8,25.935399908072384,0.1353999080723831,0.524805845241795,0.9334797615312206
358.0,0.0273972602739726,call,24.815,24.97626372076985,0.16126372076984907,0.6498638757600204,0.9360945507792072
359.0,0.0273972602739726,call,23.83,24.022774665173927,0.19277466517392838,0.8089578899451465,0.9387093400271939
360.0,0.0273972602739726,call,22.85,23.075591583764265,0.22559158376426325,0.9872717013753314,0.9413241292751804
361.0,0.0273972602739726,call,21.805,22.1354274412393,0.33042744123930134,1.5153746445278666,0.943938918523167
362.0,0.0273972602739726,call,20.835,21.20305039902223,0.3680503990222306,1.7665005952590862,0.9465537077711537
363.0,0.0273972602739726,call,19.875,20.27928435089035,0.4042843508903502,2.034135098819372,0.9491684970191403
364.0,0.0273972602739726,call,18.915,19.365008825039013,0.4500088250390135,2.379110891033643,0.9517832862671268
365.0,0.0273972602739726,call,17.97,18.4611581535068,0.49115815350680236,2.7332117613066353,0.9543980755151135
366.0,0.0273972602739726,call,17.11,17.568719807132254,0.4587198071322547,2.6810041328594667,0.9570128647631001
367.0,0.0273972602739726,call,16.205,16.68873179359207,0.48373179359207086,2.9850774056900393,0.9596276540110867
368.0,0.0273972602739726,call,15.295,15.82227901827622,0.5272790182762197,3.447394692881463,0.9622424432590734
369.0,0.0273972602739726,call,14.405,14.970488513452892,0.5654885134528929,3.925640496028413,0.9648572325070599
370.0,0.0273972602739726,call,13.53,14.134523451144844,0.6045234511448445,4.468022550959678,0.9674720217550465
371.0,0.0273972602739726,call,12.675,13.315575870112923,0.6405758701129223,5.053853018642385,0.9700868110030332
372.0,0.0273972602739726,call,11.84,12.514858068064143,0.6748580680641432,5.699814764055263,0.9727016002510198
373.0,0.0273972602739726,call,11.095,11.73359263706999,0.6385926370699888,5.7556794688597455,0.9753163894990063
374.0,0.0273972602739726,call,10.22,10.97300115406523,0.7530011540652293,7.367917358759582,0.977931178746993
375.0,0.0273972602739726,call,9.305,10.234291578283319,0.9292915782833191,9.987013200250608,0.9805459679949796
376.0,0.0273972602739726,call,8.695,9.518644454571529,0.8236444545715287,9.472621674198145,0.9831607572429663
