option_id,type,strike,maturity,moneyness,market_price,model_price,abs_difference,rel_difference_pct,market_iv
0,put,86000.0,0.00626,0.9297547146440691,56.86007198171429,26.74947678676108,-30.110595194953213,-52.95560512944218,
1,put,88000.0,0.00626,0.9513769173102102,138.43085490485714,120.6468065775698,-17.784048327287337,-12.846881816564832,
2,call,89000.0,0.00626,0.9621880186432809,3710.4479436157135,3732.2861550325906,21.83821141687713,0.5885599730472566,
3,put,89000.0,0.00626,0.9621880186432809,213.9056550805714,229.20064369948523,15.294988618913834,7.150343273137263,
4,call,90000.0,0.00626,0.9729991199763515,2838.5792305059995,2909.3075629687373,70.72833246273785,2.491680757141662,
5,put,90000.0,0.00626,0.9729991199763515,342.0364910734285,406.1594535949698,64.1229625215413,18.747403915968533,
6,call,91000.0,0.00626,0.983810221309422,2053.6211940302856,2177.171550038831,123.55035600854535,6.016219367412864,
7,put,91000.0,0.00626,0.983810221309422,557.0789286657142,673.9608426244085,116.88191395869433,20.981212525600935,
8,call,92000.0,0.00626,0.9946213226424926,1380.3934315334284,1554.9203082128806,174.52687667945224,12.64327058450117,
9,put,92000.0,0.00626,0.9946213226424926,883.8507152714285,1051.6470027577889,167.79628748636037,18.984686507249194,
10,call,93000.0,0.00626,1.0054324239755632,846.5644338802856,1053.6875405141036,207.123106633818,24.466313294601235,
11,put,93000.0,0.00626,1.0054324239755632,1350.021266720857,1550.3516370183497,200.33037029749266,14.839052927224355,
12,call,94000.0,0.00626,1.0162435253086337,479.7582935951429,673.7507013734903,193.9924077783474,40.43544642545631,
13,put,94000.0,0.00626,1.0162435253086337,1983.215600503714,2170.3521998370707,187.13659933335657,9.43601892229095,
14,call,95000.0,0.00626,1.0270546266417042,253.6347701685714,404.41188008808604,150.77710991951463,59.44654584200138,
15,put,95000.0,0.00626,1.0270546266417042,2757.092551145143,2900.9507805110043,143.85822936586146,5.2177511888786885,
16,call,96000.0,0.00626,1.037865727974775,124.49202199685712,226.77913146013452,102.2871094632774,82.16358592509624,
17,call,97000.0,0.00626,1.0486768293078454,62.26959761685714,118.27397421165551,56.00437659479837,89.93855547195201,
18,put,86000.0,0.009,0.9297547146440691,126.7629752454857,76.55594487895723,-50.20703036652847,-39.60701480010146,
19,call,88000.0,0.009,0.9513769173102102,4761.7377260208,4743.795499604355,-17.94222641644501,-0.3767999719597877,
