[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02466,0.00611, , 0.000000,97.81, 1 x 1,96.47,97.74,285.0,0.0,0.01, 0 x 894,0.01,-0.00076,9e-05,0.00017,-0.00462,0.0, 2.039630, 0.000000,97.4,0.255
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02491,0.00598, , 0.000000,75.24, 1 x 1,91.71,92.84,290.0,0.0,0.01, 0 x 1470,0.01,-0.00029,3e-05,0.0003,-0.00498,0.0, 1.926150, 0.000000,92.4,0.242
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02515,0.00576, , 0.000000,87.39, 1 x 1,86.67,87.87,295.0,0.0,0.01, 0 x 1822,0.01,-0.00011,4e-05,0.00085,-0.005,0.0, 1.814980, 1.000000,87.4,0.229
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02581,0.0063, , 2.000000,79.36, 1 x 2,81.5,82.67,300.0,0.0,0.01, 0 x 909,0.01,-0.00039,0.0001,0.00072,-0.00539,0.0, 1.705380, 1.000000,82.4,0.216
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02592,0.006, , 0.000000,79.06, 1 x 1,80.67,81.66,301.0,0.0,0.01, 0 x 672,0.04,-0.00093,9e-05,-3e-05,-0.00501,0.0, 1.683850, 0.000000,81.4,0.213
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.0254,0.00591, , 0.000000,80.42, 1 x 1,79.7,80.87,302.0,0.0,0.01, 0 x 540,0.04,-0.00046,0.00013,0.00028,-0.0054,0.0, 1.661880, 0.000000,80.4,0.21
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.0262,0.00643, , 0.000000,79.2, 1 x 1,78.7,79.74,303.0,0.0,0.01, 0 x 465,0.01,-0.00043,0.00013,0.00046,-0.00539,-0.00027, 1.640540, 0.000000,79.4,0.208
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02532,0.00627, , 0.000000,78.84, 1 x 1,77.63,78.83,304.0,0.0,0.01, 0 x 324,0.01,-0.0007,6e-05,0.00011,-0.00491,-0.00048, 1.619160, 0.000000,78.4,0.205
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02539,0.00605, , 0.000000,78.5, 1 x 1,76.53,77.68,305.0,0.0,0.01, 0 x 1032,0.01,-0.00052,0.00013,0.00012,-0.00546,0.0, 1.597630, 0.000000,77.4,0.202
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02579,0.00562, , 0.000000,74.29, 1 x 1,75.43,76.69,306.0,0.0,0.01, 0 x 672,0.01,-0.00104,0.00011,7e-05,-0.00539,0.0, 1.575340, 0.000000,76.4,0.2
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02651,0.00607, , 0.000000,74.07, 1 x 1,74.71,75.72,307.0,0.0,0.01, 0 x 324,0.01,-0.00024,0.00011,0.00051,-0.00508,-0.00025, 1.554460, 0.000000,75.4,0.197
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02584,0.00602, , 0.000000,72.94, 1 x 1,73.63,74.83,308.0,0.0,0.01, 0 x 540,0.01,-0.00106,0.00011,0.0006,-0.00531,-4e-05, 1.532850, 0.000000,74.4,0.195
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02666,0.00632, , ,0.0, 1 x 1,71.45,73.71,309.0,0.0,0.01, 0 x 338,0.02,-0.00068,9e-05,0.00044,-0.00544,0.0, 1.511640, 0.000000,73.4,0.192
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02652,0.00616, , 0.000000,71.56, 1 x 1,71.71,72.84,310.0,0.0,0.01, 0 x 1184,0.01,-0.00024,0.00013,0.0004,-0.00477,-0.00013, 1.489910, 13.000000,72.4,0.189
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02681,0.00651, , 0.000000,83.5, 1 x 1,70.71,71.67,311.0,0.0,0.01, 0 x 540,0.03,-0.0004,0.00014,0.00078,-0.00483,-0.00022, 1.469060, 0.000000,71.4,0.187
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02611,0.00647, , 0.000000,95.43, 1 x 3,69.71,70.89,312.0,0.0,0.01, 0 x 595,0.03,-0.0007,0.00013,0.00038,-0.00545,-0.00045, 1.447480, 0.000000,70.4,0.184
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02704,0.0062, , ,0.0, 1 x 1,68.64,69.67,313.0,0.0,0.01, 0 x 540,0.01,-0.00078,0.00012,-4e-05,-0.00479,-0.00038, 1.426800, 0.000000,69.4,0.182
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02641,0.00621, , 0.000000,69.38, 1 x 1,67.52,68.67,314.0,0.0,0.01, 0 x 465,0.02,-0.00089,0.00015,0.00047,-0.00464,-0.00024, 1.405030, 0.000000,68.4,0.179
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02692,0.00647, , 1.000000,64.93, 1 x 1,66.52,67.72,315.0,0.0,0.01, 0 x 1177,0.01,-0.00109,8e-05,0.00045,-0.00537,-0.00044, 1.384260, 18.000000,67.4,0.176
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02717,0.00675, , 0.000000,66.35, 1 x 1,65.52,66.72,316.0,0.0,0.01, 0 x 672,0.01,-0.00098,0.00014,6e-05,-0.00549,0.0, 1.363440, 0.000000,66.4,0.174
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02698,0.00673, , 0.000000,77.52, 1 x 1,64.62,65.72,317.0,0.0,0.01, 0 x 672,0.01,-0.00127,0.00011,0.00062,-0.00513,-0.00048, 1.342630, 0.000000,65.4,0.171
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02712,0.00618, , ,0.0, 2 x 2,63.5,64.84,318.0,0.0,0.01, 0 x 338,0.02,-0.00042,0.00011,0.00028,-0.00515,0.0, 1.322200, 0.000000,64.4,0.169
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02684,0.00645, , 0.000000,70.68, 1 x 1,62.71,63.74,319.0,0.0,0.01, 0 x 702,0.09,-0.00095,0.00012,0.00051,-0.00476,0.0, 1.300980, 0.000000,63.4,0.166
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02719,0.00589, , 2.000000,60.56, 1 x 1,61.47,62.66,320.0,0.0,0.01, 0 x 1813,0.01,-0.00114,0.00014,0.00036,-0.00519,0.0, 1.279670, 1.000000,62.4,0.163
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.0272,0.00618, , 0.000000,82.58, 2 x 1,60.45,61.74,321.0,0.0,0.01, 0 x 916,0.01,-0.00045,0.00017,0.00075,-0.00516,0.0, 1.258810, 0.000000,61.4,0.161
1672434000, 2022-12-30 16:00,2022-12-30,16.0,382.44, 2022-12-30,1672434000,0.0,1.0,0.0,0.0,-0.02687,0.00688, , 0.000000,72.63, 1 x 1,59.73,60.86,322.0,0.0,0.01, 0 x 885,0.01,-0.0007,0.00019,0.00061,-0.00512,-0.00033, 1.238580, 0.000000,60.4,0.158
