instrument_name,type,expiry_date,strike,T_years,S0,market_price_btc,market_price_usd,mark_iv,bid_btc,ask_btc,spread_pct,open_interest
BTC-30JAN26-60000-P,put,30JAN26,60000.0,0.1542,93085.15,0.00382736,356.270379704,65.98,0.0037,0.004,0.0784,758.0
BTC-30JAN26-65000-C,call,30JAN26,65000.0,0.1542,93085.15,0.30774149,28646.1627578735,61.42,0.307,0.3095,0.0081,7.3
BTC-30JAN26-65000-P,put,30JAN26,65000.0,0.1542,93085.15,0.00602538,560.873401107,61.42,0.0055,0.0065,0.166,1570.9
BTC-30JAN26-70000-C,call,30JAN26,70000.0,0.1542,93085.15,0.25758268,23977.122405202,57.45,0.2565,0.259,0.0097,68.0
BTC-30JAN26-70000-P,put,30JAN26,70000.0,0.1542,93085.15,0.00958071,891.8218274564998,57.45,0.0095,0.01,0.0522,750.3
BTC-30JAN26-75000-C,call,30JAN26,75000.0,0.1542,93085.15,0.20943884,19495.645837226,53.89,0.2085,0.211,0.0119,55.5
BTC-30JAN26-75000-P,put,30JAN26,75000.0,0.1542,93085.15,0.01515101,1410.3340385015,53.89,0.015,0.0155,0.033,845.3
BTC-30JAN26-80000-C,call,30JAN26,80000.0,0.1542,93085.15,0.16420085,15284.6607523775,50.64,0.1635,0.166,0.0152,143.2
BTC-30JAN26-80000-P,put,30JAN26,80000.0,0.1542,93085.15,0.02362717,2199.3386635254997,50.64,0.0235,0.024,0.0212,2538.6
BTC-30JAN26-82000-C,call,30JAN26,82000.0,0.1542,93085.15,0.14726301,13707.999375301499,49.51,0.1465,0.149,0.017,23.6
BTC-30JAN26-82000-P,put,30JAN26,82000.0,0.1542,93085.15,0.02817499,2622.6731703984997,49.51,0.028,0.0285,0.0177,636.6
BTC-30JAN26-84000-C,call,30JAN26,84000.0,0.1542,93085.15,0.13126964,12219.254129845998,48.58,0.1305,0.1325,0.0152,171.4
BTC-30JAN26-84000-P,put,30JAN26,84000.0,0.1542,93085.15,0.03366728,3133.9238088919997,48.58,0.033,0.034,0.0297,205.5
BTC-30JAN26-85000-C,call,30JAN26,85000.0,0.1542,93085.15,0.12354124,11499.854856585998,48.1,0.123,0.125,0.0162,273.9
BTC-30JAN26-85000-P,put,30JAN26,85000.0,0.1542,93085.15,0.03668171,3414.5224776064997,48.1,0.0365,0.037,0.0136,1212.5
BTC-30JAN26-86000-C,call,30JAN26,86000.0,0.1542,93085.15,0.11594446,10792.707450769,47.56,0.1155,0.1175,0.0172,264.0
BTC-30JAN26-86000-P,put,30JAN26,86000.0,0.1542,93085.15,0.03982776,3707.3730137639996,47.56,0.0395,0.0405,0.0251,606.3
BTC-30JAN26-88000-C,call,30JAN26,88000.0,0.1542,93085.15,0.10183167,9479.016276700499,46.81,0.101,0.1025,0.0147,568.0
BTC-30JAN26-88000-P,put,30JAN26,88000.0,0.1542,93085.58,0.04720062,4393.6970890596,46.81,0.047,0.0475,0.0106,234.0
BTC-30JAN26-90000-C,call,30JAN26,90000.0,0.1542,93085.15,0.08869729,8256.4005442435,46.08,0.088,0.0895,0.0169,1056.7
BTC-30JAN26-90000-P,put,30JAN26,90000.0,0.1542,93085.15,0.0555519,5171.056944285,46.08,0.055,0.056,0.018,1053.7
BTC-30JAN26-92000-C,call,30JAN26,92000.0,0.1542,93085.15,0.07667938,7137.711589207,45.45,0.076,0.077,0.013,1507.2
BTC-30JAN26-92000-P,put,30JAN26,92000.0,0.1542,93085.15,0.06501837,6052.2447242055005,45.45,0.0645,0.0655,0.0154,387.2
BTC-30JAN26-94000-C,call,30JAN26,94000.0,0.1542,93085.15,0.06574098,6119.508984447,44.87,0.0655,0.0665,0.0152,950.5
BTC-30JAN26-94000-P,put,30JAN26,94000.0,0.1542,93085.58,0.0755669,7034.188715302001,44.87,0.075,0.076,0.0132,397.8
BTC-30JAN26-95000-C,call,30JAN26,95000.0,0.1542,93085.15,0.06075575,5655.4581021125,44.64,0.0605,0.0615,0.0165,625.7
BTC-30JAN26-95000-P,put,30JAN26,95000.0,0.1542,93085.58,0.0813245,7570.13825071,44.64,0.081,0.082,0.0123,668.1
BTC-30JAN26-96000-C,call,30JAN26,96000.0,0.1542,93085.58,0.05618989,5230.4685007862,44.52,0.0555,0.0565,0.0178,414.7
BTC-30JAN26-96000-P,put,30JAN26,96000.0,0.1542,93085.15,0.08750147,8145.087460170499,44.52,0.087,0.088,0.0114,64.4
BTC-30JAN26-98000-C,call,30JAN26,98000.0,0.1542,93085.15,0.0472986,4402.79727579,43.96,0.047,0.048,0.0211,830.2
BTC-30JAN26-98000-P,put,30JAN26,98000.0,0.1542,93085.15,0.10009585,9317.437211627499,43.96,0.0995,0.1005,0.01,216.4
BTC-30JAN26-100000-C,call,30JAN26,100000.0,0.1542,93085.15,0.04022903,3744.7252919044995,43.96,0.0395,0.0405,0.0249,2440.2
BTC-30JAN26-100000-P,put,30JAN26,100000.0,0.1542,93085.58,0.11451193,10659.4094209694,43.96,0.1125,0.115,0.0218,316.3
BTC-30JAN26-102000-C,call,30JAN26,102000.0,0.1542,93085.15,0.0338291,3148.986847865,43.81,0.033,0.034,0.0296,927.4
BTC-30JAN26-102000-P,put,30JAN26,102000.0,0.1542,93085.15,0.12959659,12063.5180196385,43.81,0.1275,0.1305,0.0231,242.2
BTC-30JAN26-104000-C,call,30JAN26,104000.0,0.1542,93085.15,0.02833955,2637.9912626825,43.72,0.0275,0.028,0.0176,807.0
BTC-30JAN26-104000-P,put,30JAN26,104000.0,0.1542,93085.15,0.14559377,13552.6179195155,43.72,0.143,0.1465,0.024,112.6
BTC-30JAN26-105000-C,call,30JAN26,105000.0,0.1542,93085.58,0.02585183,2406.4325896114,43.66,0.025,0.0255,0.0193,587.5
BTC-30JAN26-105000-P,put,30JAN26,105000.0,0.1542,93085.15,0.15384888,14321.046072131998,43.66,0.1515,0.1555,0.026,20.0
BTC-30JAN26-106000-C,call,30JAN26,106000.0,0.1542,93085.15,0.02337418,2175.789051427,43.46,0.0225,0.0235,0.0428,362.4
BTC-30JAN26-106000-P,put,30JAN26,106000.0,0.1542,93085.15,0.16211324,15090.335262386,43.46,0.158,0.1645,0.0401,36.4
BTC-30JAN26-108000-C,call,30JAN26,108000.0,0.1542,93085.15,0.01939073,1804.9890106594996,43.43,0.0185,0.0195,0.0516,601.6
BTC-30JAN26-108000-P,put,30JAN26,108000.0,0.1542,93085.15,0.17961556,16719.541344934,43.43,0.1755,0.182,0.0362,23.8
BTC-30JAN26-110000-C,call,30JAN26,110000.0,0.1542,93085.15,0.01635048,1521.986883372,43.73,0.0155,0.016,0.0306,2804.3
BTC-30JAN26-110000-P,put,30JAN26,110000.0,0.1542,93085.15,0.19806167,18436.6002612005,43.73,0.1935,0.2,0.0328,743.8
BTC-30JAN26-112000-C,call,30JAN26,112000.0,0.1542,93085.15,0.01341773,1248.9914097094997,43.66,0.0125,0.0135,0.0745,1778.9
BTC-30JAN26-112000-P,put,30JAN26,112000.0,0.1542,93085.15,0.21661458,20163.600671486998,43.66,0.2125,0.219,0.03,237.9
BTC-30JAN26-114000-C,call,30JAN26,114000.0,0.1542,93085.58,0.01126072,1048.2106524176,43.95,0.0105,0.011,0.0444,188.9
BTC-30JAN26-114000-P,put,30JAN26,114000.0,0.1542,93085.15,0.23594323,21962.8109560345,43.95,0.2315,0.238,0.0275,31.9
