strike,T_years,market_price_usd,type,S0,spread_pct,mark_iv,open_interest,expiry_date
150.0,0.0,232.325,call,382.44,0.06456472613795575, , 1.000000, 2022-12-30
150.0,0.0,0.005,put,382.44,200.0, 6.110960, 0.000000, 2022-12-30
160.0,0.0,222.35000000000002,call,382.44,0.07195862379131845, , 3.000000, 2022-12-30
160.0,0.0,0.005,put,382.44,200.0, 5.704190, 0.000000, 2022-12-30
170.0,0.0,212.35500000000002,call,382.44,0.07063643427280059, , 2.000000, 2022-12-30
170.0,0.0,0.005,put,382.44,200.0, 5.322930, 0.000000, 2022-12-30
180.0,0.0,202.3,call,382.44,0.5635195254572489, , 2.000000, 2022-12-30
180.0,0.0,0.005,put,382.44,200.0, 4.963020, 0.000000, 2022-12-30
190.0,0.0,192.245,call,382.44,0.6294051860906696, , 3.000000, 2022-12-30
190.0,0.0,0.005,put,382.44,200.0, 4.621800, 0.000000, 2022-12-30
200.0,0.0,182.14999999999998,call,382.44,0.6368377710677995, , 0.000000, 2022-12-30
200.0,0.0,0.005,put,382.44,200.0, 4.298130, 0.000000, 2022-12-30
210.0,0.0,172.185,call,382.44,0.6330400441385738, , 0.000000, 2022-12-30
210.0,0.0,0.005,put,382.44,200.0, 3.989390, 0.000000, 2022-12-30
220.0,0.0,162.11,call,382.44,0.764912713589526, , 0.000000, 2022-12-30
220.0,0.0,0.005,put,382.44,200.0, 3.695220, 0.000000, 2022-12-30
230.0,0.0,152.26999999999998,call,382.44,0.7224009982268302, , 0.000000, 2022-12-30
230.0,0.0,0.005,put,382.44,200.0, 3.413440, 0.000000, 2022-12-30
240.0,0.0,142.28,call,382.44,0.8293505763283714, , 0.000000, 2022-12-30
240.0,0.0,0.005,put,382.44,200.0, 3.142070, 0.000000, 2022-12-30
250.0,0.0,132.095,call,382.44,0.900866800408795, , 0.000000, 2022-12-30
250.0,0.0,0.005,put,382.44,200.0, 2.882070, 0.000000, 2022-12-30
255.0,0.0,127.16499999999999,call,382.44,0.8256988951362381, , 0.000000, 2022-12-30
255.0,0.0,0.005,put,382.44,200.0, 2.755450, 0.000000, 2022-12-30
260.0,0.0,122.15,call,382.44,0.8350388866148145, , 0.000000, 2022-12-30
260.0,0.0,0.005,put,382.44,200.0, 2.631020, 0.000000, 2022-12-30
265.0,0.0,117.17,call,382.44,0.8534607834769993, , 0.000000, 2022-12-30
265.0,0.0,0.005,put,382.44,200.0, 2.508740, 0.000000, 2022-12-30
270.0,0.0,112.10499999999999,call,382.44,1.0793452566790007, , 0.000000, 2022-12-30
270.0,0.0,0.005,put,382.44,200.0, 2.388370, 0.000000, 2022-12-30
275.0,0.0,107.155,call,382.44,0.9425598432177601, , 0.000000, 2022-12-30
275.0,0.0,0.005,put,382.44,200.0, 2.270010, 0.000000, 2022-12-30
280.0,0.0,102.215,call,382.44,1.0272464902411556, , 0.000000, 2022-12-30
280.0,0.0,0.005,put,382.44,200.0, 2.154110, 0.000000, 2022-12-30
285.0,0.0,97.10499999999999,call,382.44,1.3078626229339334, , 0.000000, 2022-12-30
285.0,0.0,0.005,put,382.44,200.0, 2.039630, 0.000000, 2022-12-30
290.0,0.0,92.275,call,382.44,1.2246003793010127, , 0.000000, 2022-12-30
290.0,0.0,0.005,put,382.44,200.0, 1.926150, 0.000000, 2022-12-30
295.0,0.0,87.27000000000001,call,382.44,1.3750429700928186, , 0.000000, 2022-12-30
295.0,0.0,0.005,put,382.44,200.0, 1.814980, 1.000000, 2022-12-30
300.0,0.0,82.08500000000001,call,382.44,1.4253517695072202, , 2.000000, 2022-12-30
300.0,0.0,0.005,put,382.44,200.0, 1.705380, 1.000000, 2022-12-30
