instrument_name,type,expiry_date,strike,T_years,S0,market_price_btc,market_price_usd,mark_iv,bid_btc,ask_btc,open_interest
BTC-6DEC25-98000-C,call,6DEC25,98000.0,0.00352,92529.80714285714,0.00015461,14.306033482357144,45.04,0.0001,0.0002,96.2
BTC-6DEC25-98000-P,put,6DEC25,98000.0,0.00352,92529.80714285714,0.05927141,5484.372136385214,45.04,0.0001,,0.1
BTC-6DEC25-100000-C,call,6DEC25,100000.0,0.00352,92529.80714285714,6.826e-05,6.316084635571428,52.68,,0.0001,86.8
BTC-6DEC25-100000-P,put,6DEC25,100000.0,0.00352,92529.80714285714,0.08079969,7476.379732902642,52.68,0.0001,,0.0
BTC-6DEC25-102000-C,call,6DEC25,102000.0,0.00352,92529.80714285714,3.947e-05,3.6521514879285712,60.74,,0.0001,0.5
BTC-6DEC25-102000-P,put,6DEC25,102000.0,0.00352,92529.80714285714,0.10238552,9473.712419821142,60.74,0.0001,,0.0
BTC-7DEC25-86000-C,call,7DEC25,86000.0,0.00626,92538.14428571428,0.07125204,6593.531558171486,52.07,,,0.0
BTC-7DEC25-86000-P,put,7DEC25,86000.0,0.00626,92538.14428571428,0.00059753,55.29431735504286,52.07,0.0006,0.0007,39.1
BTC-7DEC25-88000-C,call,7DEC25,88000.0,0.00626,92538.14428571428,0.05049831,4673.019896964728,46.85,,,0.0
BTC-7DEC25-88000-P,put,7DEC25,88000.0,0.00626,92538.14428571428,0.00145649,134.78088177069998,46.85,0.0013,0.0016,243.3
BTC-7DEC25-89000-C,call,7DEC25,89000.0,0.00626,92538.14428571428,0.04048615,3746.5131902730714,44.0,0.0395,0.0415,0.5
BTC-7DEC25-89000-P,put,7DEC25,89000.0,0.00626,92538.14428571428,0.00225067,208.27282519952857,44.0,0.0021,0.0025,49.7
BTC-7DEC25-90000-C,call,7DEC25,90000.0,0.00626,92538.14428571428,0.0310329,2871.7269778041427,41.62,0.03,0.032,5.1
BTC-7DEC25-90000-P,put,7DEC25,90000.0,0.00626,92538.14428571428,0.00360376,333.48526285108574,41.62,0.0035,0.0039,39.7
BTC-7DEC25-91000-C,call,7DEC25,91000.0,0.00626,92538.14428571428,0.02250167,2082.2627851295288,39.84,0.0215,0.0235,14.9
BTC-7DEC25-91000-P,put,7DEC25,91000.0,0.00626,92538.14428571428,0.00587887,544.0197202969571,39.84,0.0055,0.0065,35.1
BTC-7DEC25-92000-C,call,7DEC25,92000.0,0.00626,92538.14428571428,0.01517003,1403.8064249586141,38.26,0.015,0.0155,22.1
BTC-7DEC25-92000-P,put,7DEC25,92000.0,0.00626,92538.14428571428,0.00935358,865.5629356279715,38.26,0.009,0.01,29.9
BTC-7DEC25-93000-C,call,7DEC25,93000.0,0.00626,92538.14428571428,0.00933698,864.0268024328285,36.86,0.009,0.01,30.1
BTC-7DEC25-93000-P,put,7DEC25,93000.0,0.00626,92538.14428571428,0.01432687,1325.7819632226715,36.86,0.014,0.0145,29.2
BTC-7DEC25-94000-C,call,7DEC25,94000.0,0.00626,92537.70714285714,0.00532395,492.66612594321424,36.29,0.0049,0.0055,110.9
BTC-7DEC25-94000-P,put,7DEC25,94000.0,0.00626,92538.14428571428,0.02112018,1954.422264180257,36.29,0.02,0.022,160.6
BTC-7DEC25-95000-C,call,7DEC25,95000.0,0.00626,92538.14428571428,0.00282655,261.5636917307857,36.21,0.0025,0.0029,16.5
BTC-7DEC25-95000-P,put,7DEC25,95000.0,0.00626,92538.14428571428,0.02942913,2723.317078143043,36.21,0.028,0.03,0.0
BTC-7DEC25-96000-C,call,7DEC25,96000.0,0.00626,92538.14428571428,0.00139437,129.03241224767143,36.32,0.0012,0.0015,57.1
BTC-7DEC25-96000-P,put,7DEC25,96000.0,0.00626,92538.14428571428,0.03880328,3590.7835233989717,36.32,,,0.2
BTC-7DEC25-97000-C,call,7DEC25,97000.0,0.00626,92538.14428571428,0.00069976,64.75449184537143,37.2,0.0006,0.0008,22.0
BTC-7DEC25-97000-P,put,7DEC25,97000.0,0.00626,92538.14428571428,0.04891502,4526.5051784986,37.2,,,0.0
BTC-7DEC25-98000-C,call,7DEC25,98000.0,0.00626,92538.14428571428,0.00039051,36.13707072501428,39.0,0.0003,0.0005,47.7
BTC-7DEC25-98000-P,put,7DEC25,98000.0,0.00626,92538.14428571428,0.05941211,5497.886407498728,39.0,,,0.0
BTC-7DEC25-100000-C,call,7DEC25,100000.0,0.00626,92538.14428571428,0.00018985,17.568366692642858,44.92,0.0001,0.0002,45.9
BTC-7DEC25-100000-P,put,7DEC25,100000.0,0.00626,92538.14428571428,0.08082414,7479.315929088772,44.92,,,0.0
BTC-7DEC25-102000-C,call,7DEC25,102000.0,0.00626,92538.14428571428,0.00010892,10.0792546756,50.9,,0.0002,25.5
BTC-7DEC25-102000-P,put,7DEC25,102000.0,0.00626,92538.14428571428,0.1023559,9471.825042694143,50.9,,,0.0
BTC-8DEC25-86000-C,call,8DEC25,86000.0,0.009,92546.48142857142,0.07208037,6670.784623569557,51.24,,,0.0
BTC-8DEC25-86000-P,put,8DEC25,86000.0,0.009,92546.48142857142,0.00134315,124.3038065307857,51.24,0.0012,0.0014,165.1
BTC-8DEC25-88000-C,call,8DEC25,88000.0,0.009,92546.48142857142,0.05183284,4796.946964450114,46.46,0.051,0.053,0.0
BTC-8DEC25-88000-P,put,8DEC25,88000.0,0.009,92546.48142857142,0.00270637,250.46502094384286,46.46,0.0026,0.0027,28.3
BTC-8DEC25-89000-C,call,8DEC25,89000.0,0.009,92546.48142857142,0.042241,3909.2559220242856,44.32,0.041,0.0435,0.0
BTC-8DEC25-89000-P,put,8DEC25,89000.0,0.009,92546.48142857142,0.00391991,362.77387801667146,44.32,0.0037,0.0041,0.4
BTC-8DEC25-90000-C,call,8DEC25,90000.0,0.009,92546.48142857142,0.03326767,3078.8058038268427,42.49,0.032,0.0345,0.0
BTC-8DEC25-90000-P,put,8DEC25,90000.0,0.009,92546.48142857142,0.00575197,532.3245847827,42.49,0.0055,0.006,19.1
BTC-8DEC25-91000-C,call,8DEC25,91000.0,0.009,92546.48142857142,0.02516336,2328.780428920457,41.01,0.0245,0.026,0.0
BTC-8DEC25-91000-P,put,8DEC25,91000.0,0.009,92546.48142857142,0.00845304,782.2991093749714,41.01,0.008,0.009,10.6
BTC-8DEC25-92000-C,call,8DEC25,92000.0,0.009,92546.48142857142,0.01805022,1670.4843500116283,39.53,0.0175,0.0185,5.1
BTC-8DEC25-92000-P,put,8DEC25,92000.0,0.009,92546.48142857142,0.01214528,1124.0029299648,39.53,0.012,0.0125,18.0
BTC-8DEC25-93000-C,call,8DEC25,93000.0,0.009,92546.11571428571,0.01238105,1145.8180859643571,38.76,0.012,0.013,38.7
BTC-8DEC25-93000-P,put,8DEC25,93000.0,0.009,92546.48142857142,0.0172815,1599.3420188078571,38.76,0.0165,0.0175,42.6
BTC-8DEC25-94000-C,call,8DEC25,94000.0,0.009,92546.48142857142,0.0081118,750.7185480522858,38.4,0.0075,0.0085,106.5
BTC-8DEC25-94000-P,put,8DEC25,94000.0,0.009,92546.48142857142,0.02381762,2204.2369270027716,38.4,0.0225,0.0245,100.0
BTC-8DEC25-95000-C,call,8DEC25,95000.0,0.009,92546.48142857142,0.00504496,466.8932969478857,38.18,0.0047,0.0055,25.3
BTC-8DEC25-95000-P,put,8DEC25,95000.0,0.009,92546.48142857142,0.03155617,2920.412500861843,38.18,0.03,0.032,1.0
BTC-8DEC25-96000-C,call,8DEC25,96000.0,0.009,92546.48142857142,0.00303306,280.69903096174284,38.3,0.0027,0.0031,11.8
BTC-8DEC25-96000-P,put,8DEC25,96000.0,0.009,92546.48142857142,0.04034965,3734.218134374357,38.3,0.0385,0.041,0.1
BTC-8DEC25-97000-C,call,8DEC25,97000.0,0.009,92546.48142857142,0.0017436,161.36404501885715,38.46,0.0015,0.0018,3.5
BTC-8DEC25-97000-P,put,8DEC25,97000.0,0.009,92546.48142857142,0.04986556,4614.882122465315,38.46,,,0.0
BTC-8DEC25-98000-C,call,8DEC25,98000.0,0.009,92546.48142857142,0.00098102,90.78994921105713,38.84,0.0008,0.0011,1.2
